PG,SG,SF,PF,C,G,F,UTIL,salary,fpts
Andrew Nembhard,Jaylon Tyson,Kevin Huerter,Pascal Siakam,Ivica Zubac,Lonzo Ball,Zion Williamson,Jamal Shead,50000,121.94
Andrew Nembhard,Jaylon Tyson,Jordan Miller,Zion Williamson,Nic Claxton,Jamal Shead,Collin Murray-Boyles,Nikola Vucevic,50000,121.94
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Jay Huff,Ivica Zubac,Tre Jones,Matas Buzelis,Nic Claxton,50000,121.92
Tyrese Maxey,Jaylon Tyson,Jordan Miller,Nae'Qwan Tomlin,Joel Embiid,Brandon Ingram,Jay Huff,Jamal Shead,50000,121.915
Craig Porter,Jaylon Tyson,Jarace Walker,Zion Williamson,Joel Embiid,Brandon Ingram,Matas Buzelis,Jamal Shead,50000,121.91499999999999
Andrew Nembhard,Jaylon Tyson,Drake Powell,Pascal Siakam,Nic Claxton,Brandon Ingram,Noah Clowney,Coby White,50000,121.91499999999999
Andrew Nembhard,Donovan Mitchell,De'Andre Hunter,Jay Huff,Nikola Vucevic,Coby White,Jarace Walker,Jamal Shead,50000,121.91
TJ McConnell,Coby White,Jarace Walker,Zion Williamson,Joel Embiid,Jamal Shead,Jay Huff,Nikola Vucevic,50000,121.91
Egor Demin,Jaylon Tyson,Jarace Walker,Pascal Siakam,Joel Embiid,Jamal Shead,Collin Murray-Boyles,Ivica Zubac,50000,121.905
Andrew Nembhard,Brandon Ingram,Jarace Walker,Jay Huff,Nikola Vucevic,Jamal Shead,Scottie Barnes,Jordan Miller,50000,121.9
Andrew Nembhard,Jaylon Tyson,Paul George,Pascal Siakam,Jay Huff,Coby White,Matas Buzelis,Jamal Shead,50000,121.9
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,Collin Murray-Boyles,Ivica Zubac,Jamal Shead,Kevin Huerter,Nic Claxton,49900,121.9
Andrew Nembhard,Brandon Ingram,Johnny Furphy,Jay Huff,Joel Embiid,Craig Porter,Collin Murray-Boyles,Ivica Zubac,50000,121.895
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,Nae'Qwan Tomlin,Joel Embiid,Craig Porter,Jaylon Tyson,Nic Claxton,49900,121.89
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Nae'Qwan Tomlin,Joel Embiid,Tyrese Maxey,Jay Huff,Coby White,49900,121.885
Tyrese Maxey,Jaylon Tyson,Paul George,Jay Huff,Ivica Zubac,Jamal Shead,Collin Murray-Boyles,Nic Claxton,50000,121.885
Andrew Nembhard,Brandon Ingram,De'Andre Hunter,Pascal Siakam,Jay Huff,Craig Porter,Noah Clowney,Ivica Zubac,50000,121.875
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Pascal Siakam,Jay Huff,Brandon Ingram,Gradey Dick,Nikola Vucevic,49900,121.865
Craig Porter,Brandon Ingram,Jarace Walker,Derik Queen,Ivica Zubac,Jamal Shead,Scottie Barnes,Nic Claxton,50000,121.865
Andrew Nembhard,Brandon Ingram,Paul George,Jay Huff,Ivica Zubac,Jamal Shead,Saddiq Bey,Nic Claxton,50000,121.865
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Jay Huff,Nic Claxton,Craig Porter,Noah Clowney,Scottie Barnes,50000,121.86
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Matas Buzelis,Joel Embiid,Jamal Shead,Noah Clowney,Nikola Vucevic,50000,121.86
Andrew Nembhard,Jaylon Tyson,Kevin Huerter,Pascal Siakam,Jay Huff,Jamal Shead,Collin Murray-Boyles,Nikola Vucevic,50000,121.86
Andrew Nembhard,Coby White,Aaron Nesmith,Jarace Walker,Ivica Zubac,Tyrese Maxey,Noah Clowney,Jamal Shead,50000,121.86
Craig Porter,Donovan Mitchell,Jarace Walker,Collin Murray-Boyles,Ivica Zubac,Jaylon Tyson,Michael Porter,Jamal Shead,50000,121.855
Jamal Shead,Trey Murphy,Jarace Walker,Pascal Siakam,Joel Embiid,Jaylon Tyson,Jay Huff,Noah Clowney,49900,121.85
Andrew Nembhard,Brandon Ingram,Jarace Walker,Zion Williamson,Nic Claxton,Jamal Shead,Scottie Barnes,Nolan Traore,50000,121.85
Craig Porter,Donovan Mitchell,Jarace Walker,Jay Huff,Nic Claxton,Tyrese Maxey,Matas Buzelis,Jamal Shead,49900,121.845
Andrew Nembhard,Trey Murphy,Jaylon Tyson,Pascal Siakam,Jay Huff,Craig Porter,Noah Clowney,Nic Claxton,49800,121.84
Andrew Nembhard,Jaylon Tyson,Isaac Okoro,Pascal Siakam,Jay Huff,Brandon Ingram,Matas Buzelis,Nic Claxton,50000,121.835
Craig Porter,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Joel Embiid,Egor Demin,Jay Huff,Nic Claxton,50000,121.82
Andrew Nembhard,Kevin Huerter,De'Andre Hunter,Pascal Siakam,Jay Huff,Jamal Shead,Zion Williamson,Nic Claxton,49900,121.815
Craig Porter,Jaylon Tyson,De'Andre Hunter,Zion Williamson,Ivica Zubac,Jamal Shead,Michael Porter,Nic Claxton,49900,121.815
Andrew Nembhard,Coby White,Aaron Nesmith,Zion Williamson,Ivica Zubac,Jamal Shead,Gradey Dick,Nic Claxton,49800,121.81
TJ McConnell,VJ Edgecombe,Jaylon Tyson,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Pascal Siakam,Nic Claxton,50000,121.81
Andrew Nembhard,Brandon Ingram,De'Andre Hunter,Jay Huff,Ivica Zubac,Coby White,Matas Buzelis,Nic Claxton,49900,121.805
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Noah Clowney,Ivica Zubac,Brandon Ingram,Scottie Barnes,Jamal Shead,49900,121.80499999999999
Andrew Nembhard,Jaylon Tyson,Jordan Miller,Pascal Siakam,Joel Embiid,Craig Porter,Jay Huff,Tre Jones,50000,121.80499999999999
Jamal Shead,Donovan Mitchell,Kevin Huerter,Nae'Qwan Tomlin,Joel Embiid,Coby White,Jay Huff,Nic Claxton,50000,121.8
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Pascal Siakam,Jay Huff,Jaylon Tyson,Noah Clowney,Collin Murray-Boyles,50000,121.78999999999999
Andrew Nembhard,Brandon Ingram,Johnny Furphy,Matas Buzelis,Nic Claxton,Craig Porter,Michael Porter,Jamal Shead,50000,121.785
TJ McConnell,Coby White,Johnny Furphy,Pascal Siakam,Joel Embiid,Jamal Shead,Collin Murray-Boyles,Nic Claxton,50000,121.785
TJ McConnell,Donovan Mitchell,Gradey Dick,Jay Huff,Joel Embiid,Jamal Shead,Matas Buzelis,Nic Claxton,50000,121.785
Andrew Nembhard,Donovan Mitchell,Kevin Huerter,Nae'Qwan Tomlin,Jay Huff,Craig Porter,Pascal Siakam,Nic Claxton,50000,121.785
Jamal Shead,Brandon Ingram,Jarace Walker,Pascal Siakam,Nic Claxton,Coby White,Michael Porter,Nolan Traore,50000,121.775
Jamal Shead,Brandon Ingram,Jarace Walker,Zion Williamson,Ivica Zubac,Drake Powell,Michael Porter,Nic Claxton,50000,121.775
Andrew Nembhard,Jaylon Tyson,Jordan Miller,Zion Williamson,Joel Embiid,Egor Demin,Jay Huff,Nic Claxton,50000,121.775
Lonzo Ball,Brandon Ingram,Aaron Nesmith,Zion Williamson,Joel Embiid,Jamal Shead,Jarace Walker,Nic Claxton,50000,121.77
Andrew Nembhard,Brandon Ingram,Jarace Walker,Collin Murray-Boyles,Joel Embiid,Jamal Shead,Isaac Okoro,Ivica Zubac,50000,121.765
Jamal Shead,Brandon Ingram,Kevin Huerter,Pascal Siakam,Joel Embiid,Nolan Traore,Jay Huff,Nic Claxton,49900,121.765
Andrew Nembhard,Donovan Mitchell,Jordan Miller,Nae'Qwan Tomlin,Nic Claxton,Craig Porter,Scottie Barnes,Jamal Shead,50000,121.755
Andrew Nembhard,VJ Edgecombe,Jarace Walker,Pascal Siakam,Nikola Vucevic,Craig Porter,Jaylon Tyson,Jamal Shead,50000,121.755
Andrew Nembhard,Gradey Dick,Jarace Walker,Pascal Siakam,Ivica Zubac,Jamal Shead,Michael Porter,Noah Clowney,50000,121.755
Andrew Nembhard,Jaylon Tyson,Jordan Miller,Nae'Qwan Tomlin,Nic Claxton,Coby White,Pascal Siakam,Nikola Vucevic,50000,121.755
Andrew Nembhard,Jaylon Tyson,De'Andre Hunter,Pascal Siakam,Derik Queen,Coby White,Jay Huff,Nic Claxton,50000,121.755
Andrew Nembhard,Lonzo Ball,Aaron Nesmith,Pascal Siakam,Joel Embiid,Jamal Shead,Jay Huff,De'Andre Hunter,50000,121.75
Andrew Nembhard,Brandon Ingram,Drake Powell,Noah Clowney,Joel Embiid,Jamal Shead,Collin Murray-Boyles,Nic Claxton,50000,121.75
Jeremiah Fears,Jaylon Tyson,Jarace Walker,Pascal Siakam,Joel Embiid,Coby White,Jay Huff,Ivica Zubac,50000,121.75
Andrew Nembhard,Coby White,Aaron Nesmith,Pascal Siakam,Ivica Zubac,Kevin Huerter,Jarace Walker,Nic Claxton,49900,121.745
Andrew Nembhard,Donovan Mitchell,De'Andre Hunter,Jay Huff,Nic Claxton,Brandon Ingram,Jarace Walker,Collin Murray-Boyles,50000,121.74
Andrew Nembhard,Donovan Mitchell,De'Andre Hunter,Nae'Qwan Tomlin,Nic Claxton,Brandon Ingram,Noah Clowney,Jamal Shead,50000,121.74
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Evan Mobley,Ivica Zubac,Jamal Shead,Paul George,Nic Claxton,50000,121.735
Andrew Nembhard,Brandon Ingram,Michael Porter,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Jay Huff,Nolan Traore,50000,121.73
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Zion Williamson,Joel Embiid,Coby White,Noah Clowney,Jamal Shead,50000,121.725
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Jay Huff,Ivica Zubac,Craig Porter,Collin Murray-Boyles,Tyrese Maxey,50000,121.725
Andrew Nembhard,Coby White,Gradey Dick,Pascal Siakam,Ivica Zubac,Craig Porter,Collin Murray-Boyles,Nic Claxton,50000,121.72
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,Jarace Walker,Joel Embiid,Coby White,Gradey Dick,Jamal Shead,49900,121.715
Andrew Nembhard,Jordan Miller,De'Andre Hunter,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Pascal Siakam,Nic Claxton,49800,121.715
Craig Porter,Donovan Mitchell,Jarace Walker,Pascal Siakam,Jay Huff,Jamal Shead,Michael Porter,Jordan Miller,50000,121.715
Jamal Shead,Brandon Ingram,Kevin Huerter,Jay Huff,Joel Embiid,Coby White,Noah Clowney,Ivica Zubac,50000,121.715
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Jarace Walker,Ivica Zubac,Brandon Ingram,Noah Clowney,Nikola Vucevic,50000,121.71
Jamal Shead,Jaylon Tyson,Jarace Walker,Pascal Siakam,Joel Embiid,Kevin Huerter,Paul George,Nic Claxton,50000,121.705
Craig Porter,Drake Powell,Aaron Nesmith,Pascal Siakam,Ivica Zubac,Jamal Shead,Michael Porter,Nic Claxton,50000,121.705
Tyrese Maxey,Jaylon Tyson,Jarace Walker,Zion Williamson,Jay Huff,Brandon Ingram,Collin Murray-Boyles,Jamal Shead,50000,121.7
TJ McConnell,Coby White,Jarace Walker,Nae'Qwan Tomlin,Ivica Zubac,Tyrese Maxey,Pascal Siakam,Nic Claxton,50000,121.7
Andrew Nembhard,Trey Murphy,Jaylon Tyson,Jay Huff,Joel Embiid,Jamal Shead,Matas Buzelis,Jordan Miller,50000,121.7
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,Pascal Siakam,Jay Huff,Jordan Miller,Noah Clowney,Nic Claxton,49900,121.695
Andrew Nembhard,Coby White,Paul George,Pascal Siakam,Ivica Zubac,Craig Porter,Jordan Miller,Jamal Shead,50000,121.695
Craig Porter,Jaylon Tyson,Paul George,Pascal Siakam,Ivica Zubac,TJ McConnell,Zion Williamson,Jamal Shead,50000,121.695
Andrew Nembhard,Brandon Ingram,Jarace Walker,Pascal Siakam,Ivica Zubac,Kris Dunn,Noah Clowney,Nic Claxton,49900,121.695
Andrew Nembhard,Jaylon Tyson,Paul George,Jay Huff,Nikola Vucevic,Brandon Ingram,Noah Clowney,Jamal Shead,50000,121.675
Jamal Shead,Jaylon Tyson,Aaron Nesmith,Zion Williamson,Ivica Zubac,Coby White,Jarace Walker,Michael Porter,50000,121.67
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Paul George,Nic Claxton,Coby White,Noah Clowney,Jamal Shead,50000,121.66499999999999
Andrew Nembhard,Donovan Mitchell,De'Andre Hunter,Jarace Walker,Joel Embiid,Craig Porter,Noah Clowney,Jamal Shead,50000,121.66
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Nae'Qwan Tomlin,Jay Huff,Jordan Miller,Michael Porter,Nic Claxton,49900,121.655
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Pascal Siakam,Collin Murray-Boyles,Tyrese Maxey,Gradey Dick,Jamal Shead,50000,121.65
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Jay Huff,Ivica Zubac,Brandon Ingram,Jordan Miller,Kris Dunn,50000,121.64999999999999
TJ McConnell,Donovan Mitchell,Jaylon Tyson,Jay Huff,Joel Embiid,Coby White,Drake Powell,Ivica Zubac,50000,121.64
TJ McConnell,Coby White,Isaac Okoro,Pascal Siakam,Ivica Zubac,Jamal Shead,Zion Williamson,Nic Claxton,50000,121.64
Andrew Nembhard,Trey Murphy,Aaron Nesmith,Jarace Walker,Nic Claxton,Craig Porter,Scottie Barnes,Jamal Shead,50000,121.64
Jamal Shead,Donovan Mitchell,Jaylon Tyson,Noah Clowney,Ivica Zubac,Nolan Traore,Michael Porter,Nic Claxton,50000,121.635
Craig Porter,Brandon Ingram,Drake Powell,Zion Williamson,Joel Embiid,Jamal Shead,Jay Huff,Ivica Zubac,49800,121.63499999999999
Craig Porter,Jaylon Tyson,Jarace Walker,Pascal Siakam,Joel Embiid,TJ McConnell,Derik Queen,Ivica Zubac,50000,121.63499999999999
TJ McConnell,Jaylon Tyson,Johnny Furphy,Pascal Siakam,Jay Huff,Brandon Ingram,Scottie Barnes,Nic Claxton,49900,121.63
Andrew Nembhard,Brandon Ingram,Jarace Walker,Pascal Siakam,Jay Huff,Kevin Huerter,Matas Buzelis,Ivica Zubac,50000,121.625
Craig Porter,Brandon Ingram,Michael Porter,Jay Huff,Nic Claxton,Jamal Shead,Gradey Dick,Nikola Vucevic,50000,121.625
Andrew Nembhard,Brandon Ingram,Jarace Walker,Zion Williamson,Nic Claxton,Craig Porter,Matas Buzelis,Coby White,50000,121.62
TJ McConnell,Donovan Mitchell,De'Andre Hunter,Pascal Siakam,Jay Huff,Jamal Shead,Collin Murray-Boyles,Nic Claxton,49900,121.62
TJ McConnell,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Jay Huff,Tyrese Maxey,Collin Murray-Boyles,Jamal Shead,50000,121.62
Jamal Shead,Coby White,Jarace Walker,Pascal Siakam,Jay Huff,Tre Jones,Scottie Barnes,Ivica Zubac,50000,121.62
Andrew Nembhard,Brandon Ingram,Drake Powell,Scottie Barnes,Ivica Zubac,Jamal Shead,Jordan Miller,Nic Claxton,49800,121.61
Jamal Shead,Donovan Mitchell,Jaylon Tyson,Jay Huff,Ivica Zubac,Jordan Miller,Matas Buzelis,Nikola Vucevic,50000,121.61
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Zion Williamson,Joel Embiid,Craig Porter,Gradey Dick,Jamal Shead,49900,121.61
TJ McConnell,Jaylon Tyson,Aaron Nesmith,Nae'Qwan Tomlin,Joel Embiid,Brandon Ingram,Zion Williamson,Jamal Shead,50000,121.61
Craig Porter,Donovan Mitchell,Aaron Nesmith,Zion Williamson,Jay Huff,Jamal Shead,Collin Murray-Boyles,Nic Claxton,50000,121.6
Andrew Nembhard,Brandon Ingram,Jarace Walker,Pascal Siakam,Joel Embiid,Drake Powell,Jay Huff,Noah Clowney,50000,121.6
Tyrese Maxey,Jaylon Tyson,Jordan Miller,Nae'Qwan Tomlin,Ivica Zubac,Jamal Shead,Scottie Barnes,Nic Claxton,50000,121.6
Andrew Nembhard,Coby White,Aaron Nesmith,Zion Williamson,Joel Embiid,Jamal Shead,Jay Huff,Drake Powell,50000,121.595
Craig Porter,Coby White,Jarace Walker,Pascal Siakam,Joel Embiid,Jamal Shead,Kevin Huerter,Ivica Zubac,49800,121.595
TJ McConnell,Brandon Ingram,Drake Powell,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Pascal Siakam,Ivica Zubac,49900,121.585
Andrew Nembhard,Lonzo Ball,Jarace Walker,Pascal Siakam,Nikola Vucevic,Brandon Ingram,Noah Clowney,Jamal Shead,50000,121.585
Jamal Shead,Brandon Ingram,Gradey Dick,Pascal Siakam,Jay Huff,Jordan Miller,Scottie Barnes,Nic Claxton,50000,121.585
TJ McConnell,Donovan Mitchell,Johnny Furphy,Jay Huff,Ivica Zubac,Coby White,Michael Porter,Jamal Shead,50000,121.58
Craig Porter,Jaylon Tyson,Johnny Furphy,Jay Huff,Joel Embiid,Jamal Shead,Michael Porter,Nikola Vucevic,50000,121.575
Andrew Nembhard,Lonzo Ball,Michael Porter,Jay Huff,Nic Claxton,Jamal Shead,Collin Murray-Boyles,Nikola Vucevic,50000,121.575
Andrew Nembhard,Jaylon Tyson,Paul George,Jay Huff,Joel Embiid,Craig Porter,Matas Buzelis,Nic Claxton,49900,121.575
Andrew Nembhard,Brandon Ingram,Johnny Furphy,Pascal Siakam,Joel Embiid,Nolan Traore,Jarace Walker,Nic Claxton,49900,121.57
TJ McConnell,Donovan Mitchell,Aaron Nesmith,Jarace Walker,Joel Embiid,Jamal Shead,Noah Clowney,Nic Claxton,49800,121.57
Jamal Shead,Trey Murphy,Jaylon Tyson,Pascal Siakam,Jay Huff,Nolan Traore,Michael Porter,Nic Claxton,50000,121.57
Tyrese Maxey,Donovan Mitchell,Aaron Nesmith,Jarace Walker,Nic Claxton,Jaylon Tyson,Gradey Dick,Jamal Shead,50000,121.57
TJ McConnell,Trey Murphy,Jaylon Tyson,Noah Clowney,Ivica Zubac,Jamal Shead,Scottie Barnes,Nic Claxton,50000,121.565
Craig Porter,Donovan Mitchell,Johnny Furphy,Zion Williamson,Joel Embiid,TJ McConnell,Jay Huff,Jamal Shead,50000,121.56
TJ McConnell,Brandon Ingram,Aaron Nesmith,Jay Huff,Joel Embiid,Coby White,Matas Buzelis,Jamal Shead,50000,121.56
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Nae'Qwan Tomlin,Jarrett Allen,Coby White,Jay Huff,Ivica Zubac,50000,121.56
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,Jay Huff,Jarrett Allen,Jamal Shead,Jarace Walker,Michael Porter,50000,121.56
Andrew Nembhard,Jaylon Tyson,Jordan Miller,Pascal Siakam,Ivica Zubac,Craig Porter,Zion Williamson,Noah Clowney,50000,121.56
Jamal Shead,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Joel Embiid,Kris Dunn,Noah Clowney,Nic Claxton,50000,121.55
TJ McConnell,Donovan Mitchell,Aaron Nesmith,Jarace Walker,Ivica Zubac,Brandon Ingram,Matas Buzelis,Jamal Shead,50000,121.55
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,De'Andre Hunter,Ivica Zubac,Tyrese Maxey,Jarace Walker,Nic Claxton,49800,121.545
Jamal Shead,Donovan Mitchell,Jarace Walker,Zion Williamson,Jay Huff,Coby White,Collin Murray-Boyles,Ivica Zubac,49900,121.53999999999999
Andrew Nembhard,Jaylon Tyson,Kevin Huerter,Matas Buzelis,Joel Embiid,Jamal Shead,Collin Murray-Boyles,Nic Claxton,49900,121.53999999999999
Craig Porter,Brandon Ingram,Johnny Furphy,Zion Williamson,Joel Embiid,Jamal Shead,Noah Clowney,Nic Claxton,50000,121.53999999999999
Tre Jones,Jaylon Tyson,Jarace Walker,Jay Huff,Joel Embiid,Coby White,Michael Porter,Nic Claxton,50000,121.535
Jamal Shead,Donovan Mitchell,Aaron Nesmith,Nae'Qwan Tomlin,Jay Huff,Tre Jones,Pascal Siakam,Nic Claxton,50000,121.53
Tyrese Maxey,Jaylon Tyson,Gradey Dick,Pascal Siakam,Nic Claxton,Coby White,Jordan Miller,Jamal Shead,50000,121.53
Craig Porter,Jaylon Tyson,Jarace Walker,Pascal Siakam,Ivica Zubac,Coby White,Zion Williamson,Nic Claxton,49500,121.53
Andrew Nembhard,Trey Murphy,Aaron Nesmith,Jarace Walker,Joel Embiid,Jaylon Tyson,Jordan Miller,Nic Claxton,50000,121.525
TJ McConnell,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Ivica Zubac,Coby White,Matas Buzelis,Nic Claxton,49900,121.525
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Noah Clowney,Joel Embiid,Brandon Ingram,Ayo Dosunmu,Nic Claxton,50000,121.52
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Derik Queen,Ivica Zubac,Jaylon Tyson,Jordan Miller,Nic Claxton,49800,121.50999999999999
Andrew Nembhard,Jaylon Tyson,Michael Porter,Matas Buzelis,Ivica Zubac,Coby White,Gradey Dick,Jamal Shead,50000,121.505
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Michael Porter,Jordan Miller,50000,121.505
TJ McConnell,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Ivica Zubac,Brandon Ingram,Ayo Dosunmu,Jamal Shead,50000,121.505
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Nikola Vucevic,Jamal Shead,Noah Clowney,Jordan Miller,50000,121.5
Jamal Shead,Jaylon Tyson,Johnny Furphy,Pascal Siakam,Joel Embiid,Brandon Ingram,Dominick Barlow,Nic Claxton,50000,121.5
Andrew Nembhard,Trey Murphy,Jarace Walker,Jay Huff,Ivica Zubac,Jamal Shead,Matas Buzelis,Nikola Vucevic,49900,121.495
Jamal Shead,Jaylon Tyson,Michael Porter,Jay Huff,Jarrett Allen,Brandon Ingram,Noah Clowney,Ivica Zubac,50000,121.495
Jamal Shead,Donovan Mitchell,Jarace Walker,Nae'Qwan Tomlin,Joel Embiid,Brandon Ingram,Jay Huff,Tre Jones,50000,121.49
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Jay Huff,Ivica Zubac,Craig Porter,Drake Powell,Tyrese Maxey,50000,121.485
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,De'Andre Hunter,Joel Embiid,Jamal Shead,John Collins,Nic Claxton,50000,121.48
Andrew Nembhard,Jaylon Tyson,Drake Powell,Jay Huff,Nic Claxton,Craig Porter,Scottie Barnes,Tyrese Maxey,50000,121.48
Tyrese Maxey,Donovan Mitchell,Drake Powell,Jay Huff,Ivica Zubac,Jamal Shead,Jordan Miller,Nic Claxton,49900,121.48
Andrew Nembhard,Kevin Huerter,Johnny Furphy,Jarace Walker,Joel Embiid,Jamal Shead,Michael Porter,Ivica Zubac,50000,121.48
TJ McConnell,Donovan Mitchell,Jarace Walker,Jay Huff,Nic Claxton,Brandon Ingram,Noah Clowney,Nikola Vucevic,50000,121.475
Jamal Shead,Donovan Mitchell,Jarace Walker,Noah Clowney,Joel Embiid,Jaylon Tyson,Kevin Huerter,Ivica Zubac,49900,121.47
Andrew Nembhard,Brandon Ingram,Gradey Dick,Zion Williamson,Ivica Zubac,Craig Porter,Noah Clowney,Nic Claxton,50000,121.465
Jamal Shead,Brandon Ingram,Johnny Furphy,Pascal Siakam,Ivica Zubac,Coby White,Kevin Huerter,Nic Claxton,49800,121.465
Craig Porter,Donovan Mitchell,Johnny Furphy,Pascal Siakam,Jarrett Allen,Jamal Shead,Jay Huff,Ivica Zubac,50000,121.455
Andrew Nembhard,Coby White,Isaac Okoro,Pascal Siakam,Jay Huff,Craig Porter,Michael Porter,Jamal Shead,50000,121.455
TJ McConnell,Jaylon Tyson,Jarace Walker,Matas Buzelis,Joel Embiid,Jamal Shead,Scottie Barnes,Ivica Zubac,49800,121.45
Andrew Nembhard,Brandon Ingram,Jordan Miller,Pascal Siakam,Nic Claxton,Jamal Shead,Matas Buzelis,Kris Dunn,50000,121.45
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Collin Murray-Boyles,Ivica Zubac,Jamal Shead,Jordan Miller,Tre Jones,50000,121.45
Craig Porter,Donovan Mitchell,Johnny Furphy,Pascal Siakam,Ivica Zubac,TJ McConnell,Jaylon Tyson,Coby White,50000,121.44999999999999
Andrew Nembhard,Trey Murphy,Jaylon Tyson,Nae'Qwan Tomlin,Ivica Zubac,Craig Porter,Scottie Barnes,Jamal Shead,49900,121.445
Craig Porter,Jaylon Tyson,Johnny Furphy,Pascal Siakam,Ivica Zubac,Tyrese Maxey,Collin Murray-Boyles,Jamal Shead,50000,121.435
Andrew Nembhard,Lonzo Ball,Michael Porter,Jay Huff,Joel Embiid,Craig Porter,Matas Buzelis,Jamal Shead,50000,121.435
Andrew Nembhard,Brandon Ingram,Johnny Furphy,Nae'Qwan Tomlin,Ivica Zubac,Coby White,Michael Porter,Jamal Shead,49900,121.43
Craig Porter,Donovan Mitchell,Aaron Nesmith,Pascal Siakam,Jay Huff,Jaylon Tyson,Gradey Dick,Ivica Zubac,50000,121.425
Jamal Shead,Brandon Ingram,Johnny Furphy,Pascal Siakam,Joel Embiid,Coby White,Jarace Walker,Noah Clowney,50000,121.425
Andrew Nembhard,Jordan Miller,De'Andre Hunter,Zion Williamson,Jay Huff,Jamal Shead,Michael Porter,Ivica Zubac,50000,121.42
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Pascal Siakam,Nic Claxton,Jaylon Tyson,Matas Buzelis,Nolan Traore,49900,121.41499999999999
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Noah Clowney,Ivica Zubac,Craig Porter,Drake Powell,Brandon Ingram,50000,121.41499999999999
TJ McConnell,Jaylon Tyson,Isaac Okoro,Pascal Siakam,Joel Embiid,Jamal Shead,Zion Williamson,Jay Huff,49900,121.41
TJ McConnell,Coby White,De'Andre Hunter,Jarace Walker,Joel Embiid,Jamal Shead,Michael Porter,Ivica Zubac,50000,121.41
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Zion Williamson,Jay Huff,Jamal Shead,Gradey Dick,Tre Jones,50000,121.41
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,Noah Clowney,Nic Claxton,Jamal Shead,Gradey Dick,Nikola Vucevic,50000,121.405
Tyrese Maxey,Coby White,Johnny Furphy,Jay Huff,Joel Embiid,Jamal Shead,Jordan Miller,Ivica Zubac,50000,121.405
TJ McConnell,Donovan Mitchell,Jaylon Tyson,Noah Clowney,Nic Claxton,Jamal Shead,Collin Murray-Boyles,Nikola Vucevic,50000,121.405
Craig Porter,Coby White,Jarace Walker,Zion Williamson,Joel Embiid,Jamal Shead,Paul George,Nic Claxton,50000,121.405
Craig Porter,Jaylon Tyson,Jordan Miller,Jay Huff,Joel Embiid,Coby White,Scottie Barnes,Ivica Zubac,50000,121.395
TJ McConnell,Jaylon Tyson,De'Andre Hunter,Pascal Siakam,Nic Claxton,Tyrese Maxey,Noah Clowney,Jamal Shead,49900,121.39
TJ McConnell,Donovan Mitchell,Jaylon Tyson,Pascal Siakam,Derik Queen,Jamal Shead,Drake Powell,Nic Claxton,50000,121.39
Andrew Nembhard,Coby White,Johnny Furphy,Pascal Siakam,Jay Huff,Tyrese Maxey,Gradey Dick,Jamal Shead,50000,121.385
